Brand,Model,Price,processor_brand,processor_tier,num_cores,num_threads,RAM,primary_storage_type,Storage,gpu_brand,gpu_type,display_size,OS
dell,Dell Inspiron 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),38349,intel,core i3,2,4,8,SSD,512,intel,integrated,15.6,windows
lenovo,Lenovo IdeaPad Slim 5 16IRL8 82XF003JIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),84190,intel,core i7,14,20,16,SSD,512,intel,integrated,16,windows
lenovo,Lenovo IdeaPad Slim 5i 82XD0040IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),86990,intel,core i7,10,16,16,SSD,512,intel,integrated,14,windows
dell,Dell Inspiron 13 5330 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),98990,intel,core i7,12,16,16,SSD,1024,intel,integrated,13.3,windows
dell,Dell Inspiron 3525 Laptop (AMD Ryzen R3 5300U/ 8GB/ 512GB SSD/ Win11),32990,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,15.6,windows
dell,Dell Inspiron 5330 2023 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),87490,intel,core i5,12,16,16,SSD,1024,intel,integrated,13.3,windows
dell,Dell Inspiron 3535 2023 Laptop (AMD Ryzen R5-7520U/ 8GB/ 1TB SSD/ Win11),47990,amd,ryzen 5,4,8,8,SSD,1024,amd,integrated,15.6,windows
dell,Dell Inspiron 7430 2023 2 in 1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11),77490,intel,core i5,10,12,8,SSD,1024,intel,integrated,14,windows
dell,Dell Vostro 3430 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),41433,intel,core i3,5,6,8,SSD,512,intel,integrated,14,windows
hp,HP Victus 15-FB0142AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),74950,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,15.6,windows
dell,Dell Inspiron 7430 2 in 1 Touch Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),87290,intel,core i5,10,12,16,SSD,1024,intel,integrated,14,windows
dell,Dell Vostro 3430 VN3430RHXFG001ORB1 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),60490,intel,core i5,10,12,8,SSD,512,intel,integrated,14,windows
lenovo,Lenovo Yoga 6 82WV0058IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),77990,intel,core i5,12,16,16,SSD,512,intel,integrated,14,windows
asus,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),89990,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,15.6,windows
msi,MSI Thin GF63 12VE-664IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),96990,intel,core i7,10,16,16,SSD,1024,nvidia,dedicated,15.6,windows
